sr,name,country,role,capped,base,category,last_ipl_team,highlights,rating,matches,runs,strike_rate,wickets,economy,average
229,Roshan Waghsare,India,BOWLER,Uncapped,30 L,,,,,,,,,,
230,Bailapudi Yeswanth,India,BOWLER,Uncapped,30 L,,,,,,,,,,
231,Sediqullah Atal,Afghanistan,BATTER,Capped,75 L,,,Afghanistan top-order batter | Aggressive opener,,,,,,,
232,Matthew Breetzke,South Africa,BATTER,Capped,75 L,,,South Africa top-order batter | 2025 Champions Trophy century | Rising ODI star,,,,,,,
233,Mark Chapman,New Zealand,BATTER,Capped,1.50 Cr,,,New Zealand middle-order batter | Versatile left-hander,,,,,,,
234,Brandon King,West Indies,BATTER,Capped,75 L,,,West Indies opener | Aggressive powerplay batter,,,,,,,
235,Evin Lewis,West Indies,BATTER,Capped,2 Cr,,,West Indies explosive opener | CPL power-hitting star,,,,,,,
236,Pathum Nissanka,Sri Lanka,BATTER,Capped,75 L,,,Sri Lanka top-order batter | Consistent ODI run-scorer,,,,,,,
237,Bhanuka Rajapaksa,Sri Lanka,BATTER,Capped,75 L,,,Sri Lanka left-hand power-hitter | Middle-order finisher,,,,,,,
238,Steve Smith,Australia,BATTER,Capped,2 Cr,,,Australia's Test & ODI great | 2015 & 2023 World Cup winner | Former RR & DC captain,,,,,,,
239,Gus Atkinson,England,ALL-ROUNDER,Capped,2 Cr,,,England seam-bowling all-rounder | Sharp pace & lower-order runs | Test breakout star,,,,,,,
240,Tom Curran,England,ALL-ROUNDER,Capped,2 Cr,,,England seam-bowling all-rounder | Death-overs specialist | Franchise T20 veteran,,,,,,,
241,Krishnappa Gowtham,India,ALL-ROUNDER,Capped,1 Cr,,,India off-spin all-rounder | Big-hitting lower order | Domestic T20 star,,,,,,,
242,Mohammad Nabi,Afghanistan,ALL-ROUNDER,Capped,1.50 Cr,,,Afghanistan's legendary all-rounder | Former captain | Off-spin & explosive hitting,,,,,,,
243,Gulbadin Naib,Afghanistan,ALL-ROUNDER,Capped,1 Cr,,,Afghanistan seam-bowling all-rounder | 2023 World Cup performer,,,,,,,
244,Sikandar Raza,Zimbabwe,ALL-ROUNDER,Capped,1.25 Cr,,,Zimbabwe's premier all-rounder | Powerful hitting & handy off-spin,,,,,,,
245,Mitchell Santner,New Zealand,ALL-ROUNDER,Capped,2 Cr,,Sunrisers Hyderabad,New Zealand left-arm spin all-rounder | NZ T20I captain | Economical & big hitting,75,,,,,,
246,Jayant Yadav,India,ALL-ROUNDER,Capped,75 L,,Gujarat Titans,India off-spin all-rounder | Reliable middle-overs bowler,,,,,,,
247,Johnson Charles,West Indies,WICKETKEEPER,Capped,75 L,,,West Indies keeper-opener | Explosive powerplay hitter,,,,,,,
248,Litton Das,Bangladesh,WICKETKEEPER,Capped,75 L,,,Bangladesh keeper-batter | Attacking top-order stroke-maker,,,,,,,
249,Andre Fletcher,West Indies,WICKETKEEPER,Capped,75 L,,,West Indies keeper-batter | Franchise T20 opener,,,,,,,
250,Tom Latham,New Zealand,WICKETKEEPER,Capped,1.50 Cr,,,New Zealand keeper-batter & captain | Reliable top-order anchor,,,,,,,
251,Ollie Pope,England,WICKETKEEPER,Capped,75 L,,,England Test keeper-batter | Aggressive stroke-maker,,,,,,,
252,Kyle Verreynne,South Africa,WICKETKEEPER,Capped,75 L,,,South Africa keeper-batter | Solid middle-order option,,,,,,,
253,Fazalhaq Farooqi,Afghanistan,BOWLER,Capped,2 Cr,,Rajasthan Royals,Afghanistan left-arm swing bowler | New-ball wicket-taker,65,,,,,,
254,Richard Gleeson,England,BOWLER,Capped,75 L,,,England seamer | Sharp pace & s.death-overs skills,,,,,,,
255,Matt Henry,New Zealand,BOWLER,Capped,2 Cr,,,New Zealand seamer | Reliable new-ball swing & wickets,,,,,,,
256,Alzarri Joseph,West Indies,BOWLER,Capped,2 Cr,,,West Indies express pace | Aggressive new-ball & middle-overs bowler,80,,,,,,
257,Kwena Maphaka,South Africa,BOWLER,Capped,75 L,,,South Africa teenage left-arm quick | Emerging pace sensation,55,,,,,,
258,Kuldeep Sen,India,BOWLER,Capped,75 L,,Punjab Kings,India seamer | Sharp pace & death-overs option,,,,,,,
259,Reece Topley,England,BOWLER,Capped,75 L,,,England left-arm quick | Tall new-ball swing bowler,,,,,,,
260,Lizaad Williams,South Africa,BOWLER,Capped,75 L,,,South Africa seamer | Skiddy new-ball & death bowler,,,,,,,
261,Luke Wood,England,BOWLER,Capped,75 L,,,England left-arm quick | Franchise T20 death-overs option,,,,,,,
262,Sachin Dhas,India,BATTER,Uncapped,30 L,,,,,,,,,,
263,Leus Du Plooy,England,BATTER,Uncapped,50 L,,,,,,,,,,
264,Ashwin Hebbar,India,BATTER,Uncapped,30 L,,,,,,,,,,
265,Rohan Kunnummal,India,BATTER,Uncapped,30 L,,,,,,,,,,
266,Ayush Pandey,India,BATTER,Uncapped,30 L,,,,,,,,,,
267,Akshat Raghuwanshi,India,BATTER,Uncapped,30 L,,,,,,,,,,
268,Shoun Roger,India,BATTER,Uncapped,40 L,,,,,,,,,,
269,Virat Singh,India,BATTER,Uncapped,30 L,,,,,,,,,,
270,Priyansh Arya,India,ALL-ROUNDER,Uncapped,30 L,,,,75,,,,,,
271,Manoj Bhandage,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
272,Pravin Dubey,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
273,Ajay Mandal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
274,Prerak Mankad,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
275,Vipraj Nigam,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
276,Vicky Ostwal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
277,Shivalik Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
278,Salil Arora,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
279,Dinesh Bana,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
280,Ajitesh Guruswamy,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
281,Narayan Jagadeesan,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
282,Shrijith Krishnan,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
283,Michael Pepper,England,WICKETKEEPER,Uncapped,50 L,,,,,,,,,,
284,Vishnu Solanki,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
285,K.M Asif,India,BOWLER,Uncapped,30 L,,,,,,,,,,
286,Akhil Chaudhary,India,BOWLER,Uncapped,30 L,,,,,,,,,,
287,Himanshu Chauhan,India,BOWLER,Uncapped,30 L,,,,,,,,,,
288,Arpit Guleria,India,BOWLER,Uncapped,30 L,,,,,,,,,,
289,Nishanth Saranu,India,BOWLER,Uncapped,30 L,,,,,,,,,,
290,Kuldip Yadav,India,BOWLER,Uncapped,30 L,,,,,,,,,,
291,Prithviraj Yarra,India,BOWLER,Uncapped,30 L,,,,,,,,,,
292,Shubham Agrawal,India,BOWLER,Uncapped,30 L,,,,,,,,,,
293,Jass Inder Baidwan,India,BOWLER,Uncapped,30 L,,,,,,,,,,
294,Jasmer Dhankhar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
295,Pulkit Narang,India,BOWLER,Uncapped,30 L,,,,,,,,,,
296,Saumy Pandey,India,BOWLER,Uncapped,30 L,,,,,,,,,,
297,Mohit Rathee,India,BOWLER,Uncapped,30 L,,,,,,,,,,
298,Himanshu Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
299,Towhid Hridoy,Bangladesh,BATTER,Capped,75 L,,,Bangladesh middle-order batter | Rising limited-overs run-scorer,,,,,,,
300,Mikyle Louis,West Indies,BATTER,Capped,75 L,,,West Indies top-order batter | Emerging Test & T20 talent,,,,,,,
301,Harry Tector,Ireland,BATTER,Capped,75 L,,,Ireland's premier batter | Consistent middle-order run-scorer,,,,,,,
302,Rassie Van Der Dussen,South Africa,BATTER,Capped,2 Cr,,,South Africa top-order anchor | 2023 World Cup key batter,,,,,,,
303,Will Young,New Zealand,BATTER,Capped,1.25 Cr,,,New Zealand top-order batter | Reliable Test & ODI run-scorer,,,,,,,
304,Najibullah Zadran,Afghanistan,BATTER,Capped,75 L,,,Afghanistan middle-order power-hitter | Explosive left-hander,,,,,,,
305,Ibrahim Zadran,Afghanistan,BATTER,Capped,75 L,,,Afghanistan's leading batter | ODI double-centurion | 2023 World Cup star,,,,,,,
306,Sean Abbott,Australia,ALL-ROUNDER,Capped,2 Cr,,,Australia seam-bowling all-rounder | Death-overs & lower-order hitting,,,,,,,
307,Jacob Bethell,England,ALL-ROUNDER,Capped,1.25 Cr,,Royal Challengers Bengaluru,England young left-hand all-rounder | Rising top-order & spin option,80,,,,,,
308,Brydon Carse,England,ALL-ROUNDER,Capped,1 Cr,,,England seam-bowling all-rounder | Sharp pace & lower-order runs,,,,,,,
309,Aaron Hardie,Australia,ALL-ROUNDER,Capped,1.25 Cr,,,Australia seam-bowling all-rounder | Powerplay hitting & handy seam,,,,,,,
310,Sarfaraz Khan,India,ALL-ROUNDER,Capped,75 L,,,India middle-order batter | Prolific domestic run-machine | Test century-maker,,,,,,,
311,Kyle Mayers,West Indies,ALL-ROUNDER,Capped,1.50 Cr,,,West Indies all-rounder | Explosive opener & handy seam | Test debut double-hundred,,,,,,,
312,Kamindu Mendis,Sri Lanka,ALL-ROUNDER,Capped,75 L,,Sunrisers Hyderabad,Sri Lanka all-rounder | Ambidextrous bowler | Consistent Test run-scorer,,,,,,,
313,Matthew Short,Australia,ALL-ROUNDER,Capped,75 L,,,Australia top-order all-rounder | Explosive opener & off-spin,,,,,,,
314,Jason Behrendorff,Australia,BOWLER,Capped,1.50 Cr,,,Australia left-arm swing bowler | New-ball powerplay specialist,,,,,,,
315,Dushmantha Chameera,Sri Lanka,BOWLER,Capped,75 L,,Delhi Capitals,Sri Lanka express pace | Sharp new-ball & death bowler,,,,,,,
316,Nathan Ellis,Australia,BOWLER,Capped,1.25 Cr,,,Australia seamer | Yorker & slower-ball death specialist,65,,,,,,
317,Shamar Joseph,West Indies,BOWLER,Capped,75 L,,Lucknow Super Giants,West Indies express pace | Sensational Test debut (7 wickets) | Raw speed,,,,,,,
318,Josh Little,Ireland,BOWLER,Capped,75 L,,,Ireland left-arm quick | New-ball wicket-taker,,,,,,,
319,Shivam Mavi,India,BOWLER,Capped,75 L,,,India seamer | Sharp new-ball pace | KKR title winner,,,,,,,
320,Jhye Richardson,Australia,BOWLER,Capped,1.50 Cr,,,Australia express pace | Sharp bounce & new-ball wickets,,,,,,,
321,Navdeep Saini,India,BOWLER,Capped,75 L,,,India express pace | Raw speed & new-ball threat,,,,,,,
322,Tanmay Agarwal,India,BATTER,Uncapped,30 L,,,,,,,,,,
323,Amandeep Khare,India,BATTER,Uncapped,30 L,,,,,,,,,,
324,Ayush Mhatre,India,BATTER,Uncapped,30 L,,,,,,,,,,
325,Salman Nizar,India,BATTER,Uncapped,30 L,,,,,,,,,,
326,Aniket Verma,India,BATTER,Uncapped,30 L,,,,,,,,,,
327,Sumeet Verma,India,BATTER,Uncapped,30 L,,,,,,,,,,
328,Manan Vohra,India,BATTER,Uncapped,30 L,,,,60,,,,,,
329,Samarth Vyas,India,BATTER,Uncapped,30 L,,,,,,,,,,
330,Raj Angad Bawa,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
331,Emanjot Chahal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
332,Musheer Khan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
333,Manvanth Kumar L,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
334,Mayank Rawat,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
335,Suryansh Shedge,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
336,Hritik Shokeen,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
337,Sonu Yadav,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
338,S. Rithik Easwaran,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
339,Anmol Malhotra,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
340,Pradosh Paul,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
341,Karteek Sharma,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
342,Akash Singh,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
343,Tejasvi Singh,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
344,Siddharth Yadav,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
345,Saurabh Dubey,India,BOWLER,Uncapped,30 L,,,,,,,,,,
346,Aaqib Khan,India,BOWLER,Uncapped,30 L,,,,,,,,,,
347,Kulwant Khejroliya,India,BOWLER,Uncapped,30 L,,,,,,,,,,
348,Ankit Singh Rajpoot,India,BOWLER,Uncapped,30 L,,,,,,,,,,
349,Divesh Sharma,India,BOWLER,Uncapped,30 L,,,,,,,,,,
350,Naman Tiwari,India,BOWLER,Uncapped,30 L,,,,,,,,,,
351,Prince Yadav,India,BOWLER,Uncapped,30 L,,,,80,,,,,,
352,Kunal Singh Chibb,India,BOWLER,Uncapped,30 L,,,,,,,,,,
353,Yuvraj Chudasama,India,BOWLER,Uncapped,30 L,,,,,,,,,,
354,Deepak Devadiga,India,BOWLER,Uncapped,30 L,,,,,,,,,,
355,Ramesh Prasad,India,BOWLER,Uncapped,30 L,,,,,,,,,,
356,Shivam Shukla,India,BOWLER,Uncapped,30 L,,,,,,,,,,
358,Tejpreet Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
359,Qais Ahmad,Afghanistan,ALL-ROUNDER,Capped,75 L,,,Afghanistan leg-spin all-rounder | Attacking wrist-spinner,,,,,,,
360,Charith Asalanka,Sri Lanka,ALL-ROUNDER,Capped,75 L,,,Sri Lanka middle-order all-rounder & captain | Reliable batter & off-spin,,,,,,,
361,Michael Bracewell,New Zealand,ALL-ROUNDER,Capped,1.50 Cr,,,New Zealand off-spin all-rounder | Explosive hitting & handy spin,,,,,,,
362,Gudakesh Motie,West Indies,ALL-ROUNDER,Capped,75 L,,,West Indies left-arm spin all-rounder | Economical middle-overs bowler,,,,,,,
363,Daniel Mousley,England,ALL-ROUNDER,Capped,75 L,,,England left-hand spin all-rounder | Emerging T20 talent,,,,,,,
364,Jamie Overton,England,ALL-ROUNDER,Capped,1.50 Cr,,,England seam-bowling all-rounder | Sharp pace & big hitting,,,,,,,
365,Dunith Wellalage,Sri Lanka,ALL-ROUNDER,Capped,75 L,,,Sri Lanka left-arm spin all-rounder | Rising young all-round star,,,,,,,
366,Ottneil Baartman,South Africa,BOWLER,Capped,75 L,,,South Africa seamer | Consistent T20 wicket-taker,,,,,,,
367,Xavier Bartlett,Australia,BOWLER,Capped,75 L,,,Australia seamer | New-ball swing & wickets,80,,,,,,
368,Dilshan Madushanka,Sri Lanka,BOWLER,Capped,75 L,,Mumbai Indians,Sri Lanka left-arm quick | New-ball & death-overs wicket-taker,,,,,,,
369,Adam Milne,New Zealand,BOWLER,Capped,2 Cr,,,New Zealand express pace | Genuine speed & death skills,,,,,,,
370,Lungisani Ngidi,South Africa,BOWLER,Capped,1 Cr,,,South Africa seamer | Reliable middle & death-overs bowler,,,,,,,
371,William O'Rourke,New Zealand,BOWLER,Capped,1.50 Cr,,,New Zealand tall seamer | Sharp bounce & new-ball wickets,,,,,,,
372,Chetan Sakariya,India,BOWLER,Capped,75 L,,,India left-arm swing bowler | New-ball powerplay option,,,,,,,
373,Sandeep Warrier,India,BOWLER,Capped,75 L,,,India seamer | Franchise T20 new-ball option,,,,,,,
374,Musaif Ajaz,India,BATTER,Uncapped,30 L,,,,,,,,,,
375,Agni Chopra,India,BATTER,Uncapped,30 L,,,,,,,,,,
376,Abhimanyu Easwaran,India,BATTER,Uncapped,30 L,,,,,,,,,,
377,Sudip Gharami,India,BATTER,Uncapped,30 L,,,,,,,,,,
378,Shubham Khajuria,India,BATTER,Uncapped,30 L,,,,,,,,,,
379,Akhil Rawat,India,BATTER,Uncapped,30 L,,,,,,,,,,
380,Prateek Yadav,India,BATTER,Uncapped,30 L,,,,,,,,,,
381,Abdul Bazith,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
382,K.C Cariappa,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
383,Yuvraj Chaudhary,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
384,Aman Khan,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
385,Sumit Kumar,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
386,Kamlesh Nagarkoti,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
387,Hardik Raj,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
388,Harsh Tyagi,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
389,M. Ajnas,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
390,Unmukt Chand,USA,WICKETKEEPER,Associate,30 L,,,,,,,,,,
391,Tejasvi Dahiya,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
392,Sumit Ghadigaonkar,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
393,Baba Indrajith,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
394,Muhammed Khan,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
395,Bhagmender Lather,India,WICKETKEEPER,Uncapped,30 L,,,,,,,,,,
396,Baltej Dhanda,India,BOWLER,Uncapped,30 L,,,,,,,,,,
397,Ali Khan,USA,BOWLER,Associate,30 L,,,,,,,,,,
398,Ravi Kumar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
399,Vineet Panwar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
400,Vidyadhar Patil,India,BOWLER,Uncapped,30 L,,,,,,,,,,
401,Aradhya Shukla,India,BOWLER,Uncapped,30 L,,,,,,,,,,
402,Abhinandan Singh,India,BOWLER,Uncapped,30 L,,,,,,,,,,
403,Cooper Connolly,Australia,ALL-ROUNDER,Capped,75 L,,,Australia left-hand all-rounder | Rising batting & spin talent,,,,,,,
404,Dushan Hemantha,Sri Lanka,ALL-ROUNDER,Capped,75 L,,,Sri Lanka leg-spin all-rounder | Emerging wrist-spin option,,,,,,,
405,Jason Holder,West Indies,ALL-ROUNDER,Capped,2 Cr,,,West Indies all-rounder & former captain | Big hitting & sharp seam,,,,,,,
406,Karim Janat,Afghanistan,ALL-ROUNDER,Capped,75 L,,,Afghanistan seam-bowling all-rounder | Handy lower-order hitter,,,,,,,
407,Jimmy Neesham,New Zealand,ALL-ROUNDER,Capped,1.50 Cr,,,New Zealand all-rounder | Explosive finisher & handy seam,,,,,,,
408,Daniel Sams,Australia,ALL-ROUNDER,Capped,1.50 Cr,,,Australia left-arm pace all-rounder | Death-overs & big hitting,,,,,,,
409,William Sutherland,Australia,ALL-ROUNDER,Capped,75 L,,,Australia seam-bowling all-rounder | Emerging pace & batting talent,,,,,,,
410,Taskin Ahmed,Bangladesh,BOWLER,Capped,1 Cr,,,Bangladesh's pace spearhead | Sharp new-ball & death bowler,,,,,,,
411,Ben Dwarshuis,Australia,BOWLER,Capped,75 L,,,Australia left-arm quick | Death-overs & new-ball option,,,,,,,
412,Obed McCoy,West Indies,BOWLER,Capped,1.25 Cr,,,West Indies left-arm quick | Death-overs specialist,,,,,,,
413,Riley Meredith,Australia,BOWLER,Capped,1.50 Cr,,,Australia express pace | Sharp bounce & death skills,,,,,,,
414,Lance Morris,Australia,BOWLER,Capped,1.25 Cr,,,Australia express pace | Genuine speed & new-ball threat,,,,,,,
415,Olly Stone,England,BOWLER,Capped,75 L,,,England express pace | Sharp new-ball wicket-taker,,,,,,,
416,Daniel Worrall,England,BOWLER,Capped,1.50 Cr,,,England seamer | Skiddy new-ball swing & wickets,,,,,,,
417,Pyla Avinash,India,BATTER,Uncapped,30 L,,,,,,,,,,
418,Kiran Chormale,India,BATTER,Uncapped,30 L,,,,,,,,,,
419,Ashish Dahariya,India,BATTER,Uncapped,30 L,,,,,,,,,,
420,Tushar Raheja,India,BATTER,Uncapped,30 L,,,,,,,,,,
421,Sarthak Ranjan,India,BATTER,Uncapped,30 L,,,,,,,,,,
422,Abhijeet Tomar,India,BATTER,Uncapped,30 L,,,,,,,,,,
423,Krish Bhagat,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
424,Sohraab Dhaliwal,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
425,Harsh Dubey,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
426,Ramakrishna Ghosh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
427,Raj Limbani,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
428,Ninad Rathva,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
429,Vivrant Sharma,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
430,Shiva Singh,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
431,Sayed Irfan Aftab,India,BOWLER,Uncapped,30 L,,,,,,,,,,
432,Anirudh Chowdhary,India,BOWLER,Uncapped,30 L,,,,,,,,,,
433,Anshuman Hooda,India,BOWLER,Uncapped,30 L,,,,,,,,,,
434,Siddharth Kaul,India,BOWLER,Uncapped,40 L,,,,,,,,,,
435,Prashant Sai Painkra,India,BOWLER,Uncapped,30 L,,,,,,,,,,
436,Venkata Satyanarayana Penmetsa,India,BOWLER,Uncapped,30 L,,,,,,,,,,
437,Yeddala Reddy,India,BOWLER,Uncapped,30 L,,,,,,,,,,
438,Zak Foulkes,New Zealand,ALL-ROUNDER,Capped,75 L,,,New Zealand seam-bowling all-rounder | Emerging pace & batting talent,,,,,,,
439,Chris Green,Australia,ALL-ROUNDER,Capped,1 Cr,,,Australia off-spin all-rounder | Economical spin & big hitting,,,,,,,
440,Shakib Al Hasan,Bangladesh,ALL-ROUNDER,Capped,1 Cr,,,Bangladesh's greatest all-rounder | World No.1 all-rounder across formats,,,,,,,
441,Mehidy Hasan Miraz,Bangladesh,ALL-ROUNDER,Capped,1 Cr,,,Bangladesh off-spin all-rounder | Reliable spin & lower-order runs,,,,,,,
442,Wiaan Mulder,South Africa,ALL-ROUNDER,Capped,75 L,,,South Africa seam-bowling all-rounder | Test double-century | Handy seam,,,,,,,
443,Dwaine Pretorius,South Africa,ALL-ROUNDER,Capped,75 L,,,South Africa seam-bowling all-rounder | Death-overs & finishing,,,,,,,
444,Dasun Shanaka,Sri Lanka,ALL-ROUNDER,Capped,75 L,,,Sri Lanka all-rounder & former captain | Power hitting & handy seam,,,,,,,
445,Shoriful Islam,Bangladesh,BOWLER,Capped,75 L,,,Bangladesh left-arm quick | New-ball swing specialist,,,,,,,
446,Blessing Muzarabani,Zimbabwe,BOWLER,Capped,75 L,,,Zimbabwe's tall express quick | Sharp bounce & new-ball wickets,,,,,,,
447,Matthew Potts,England,BOWLER,Capped,1.50 Cr,,,England seamer | Reliable new-ball swing & wickets,,,,,,,
448,Tanzim Hasan Sakib,Bangladesh,BOWLER,Capped,75 L,,,Bangladesh seamer | Aggressive new-ball wicket-taker,,,,,,,
449,Benjamin Sears,New Zealand,BOWLER,Capped,1 Cr,,,New Zealand express pace | Sharp speed & new-ball threat,,,,,,,
450,Tim Southee,New Zealand,BOWLER,Capped,1.50 Cr,,Kolkata Knight Riders,New Zealand swing veteran | Former NZ captain | 400-plus international wickets,,,,,,,
451,John Turner,England,BOWLER,Capped,1.50 Cr,,,England express pace | Emerging speed sensation,,,,,,,
452,Joshua Brown,Australia,BATTER,Uncapped,30 L,,,,,,,,,,
453,Oliver Davies,Australia,BATTER,Uncapped,30 L,,,,,,,,,,
454,Bevan John Jacobs,New Zealand,BATTER,Uncapped,30 L,,,,,,,,,,
455,Atharva Kale,India,BATTER,Uncapped,30 L,,,,,,,,,,
456,Abhishek Nair,India,BATTER,Uncapped,30 L,,,,,,,,,,
457,Vishwanath Pratap Singh,India,BATTER,Uncapped,30 L,,,,,,,,,,
458,Nasir Lone,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
459,Brandon McMullen,Scotland,ALL-ROUNDER,Associate,30 L,,,,,,,,,,
460,S. Midhun,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
461,Abid Mushtaq,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
462,Mahesh Pithiya,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
463,Maramreddy Reddy,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
464,Atit Sheth,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
465,Jonty Sidhu,India,ALL-ROUNDER,Uncapped,30 L,,,,,,,,,,
466,Mohit Avasthi,India,BOWLER,Uncapped,30 L,,,,,,,,,,
467,Faridoon Dawoodzai,Afghanistan,BOWLER,Uncapped,30 L,,,,,,,,,,
468,Praful Hinge,India,BOWLER,Uncapped,30 L,,,,,,,,,,
469,Pankaj Jaswal,India,BOWLER,Uncapped,30 L,,,,,,,,,,
470,Vijay Kumar,India,BOWLER,Uncapped,30 L,,,,,,,,,,
471,Ashok Sharma,India,BOWLER,Uncapped,30 L,,,,75,,,,,,
472,Mujtaba Yousuf,India,BOWLER,Uncapped,30 L,,,,,,,,,,
473,Ashton Agar,Australia,ALL-ROUNDER,Capped,1.25 Cr,,,Australia left-arm spin all-rounder | 2013 Ashes debut fifty | Handy batting,,,,,,,
474,Roston Chase,West Indies,ALL-ROUNDER,Capped,75 L,,,West Indies off-spin all-rounder | Reliable batting & economical spin,,,,,,,
475,Junior Dala,South Africa,ALL-ROUNDER,Capped,75 L,,,South Africa seam-bowling all-rounder | Death-overs & big hitting,,,,,,,
476,Mahedi Hasan,Bangladesh,ALL-ROUNDER,Capped,75 L,,,Bangladesh off-spin all-rounder | Powerplay & middle-overs option,,,,,,,
477,Nangeyalia Kharote,Afghanistan,ALL-ROUNDER,Capped,75 L,,,Afghanistan spin all-rounder | Emerging wrist-spin talent,,,,,,,
478,Dan Lawrence,England,ALL-ROUNDER,Capped,1 Cr,,,England batting all-rounder | Reliable top-order & handy off-spin,,,,,,,
479,Nathan Smith,New Zealand,ALL-ROUNDER,Capped,1 Cr,,,New Zealand seam-bowling all-rounder | Death-overs & lower-order runs,,,,,,,
480,James Anderson,England,BOWLER,Capped,1.25 Cr,,,England's greatest fast bowler | 700-plus Test wickets | Master of swing,,,,,,,
481,Kyle Jamieson,New Zealand,BOWLER,Capped,1.50 Cr,,,New Zealand tall seamer | Sharp bounce & Test wickets | RCB IPL 2021 buy,,,,,,,
482,Chris Jordan,England,BOWLER,Capped,2 Cr,,,England death-overs specialist | Yorkers & slower balls | Franchise T20 veteran,,,,,,,
483,Hasan Mahmud,Bangladesh,BOWLER,Capped,75 L,,,Bangladesh seamer | New-ball swing & wickets,,,,,,,
484,Tymal Mills,England,BOWLER,Capped,2 Cr,,,England left-arm express pace | Death-overs specialist,,,,,,,
485,David Payne,England,BOWLER,Capped,1 Cr,,,Bangladesh express pace | Raw speed & new-ball threat,,,,,,,
486,Nahid Rana,Bangladesh,BOWLER,Capped,75 L,,,England left-arm quick | Reliable new-ball & death bowler,,,,,,,
487,Prayas Ray Barman,India,BATTER,Uncapped,30 L,,,,,,,,,,
488,Jafar Jamal,India,BATTER,Uncapped,30 L,,,,,,,,,,
489,Ayaz Khan,India,BATTER,Uncapped,30 L,,,,,,,,,,
490,Kaushik Maity,India,BATTER,Uncapped,30 L,,,,,,,,,,
491,Rituraj Sharma,India,BATTER,Uncapped,30 L,,,,,,,,,,
